rna0;XM_005088767.1
rna12828;XM_005099742.2
rna12829;XM_013083316.1
rna12830;XM_013083317.1
rna12831;XM_013083305.1
rna12832;XM_013083306.1
rna12833;XM_013083318.1
rna12834;XM_013083319.1
rna12835;XM_005099762.2
rna12836;XM_005099744.2
rna12837;XM_013083320.1
rna12838;XM_005099745.2
rna12839;XM_005099749.2
rna12840;XM_005099746.2
rna12841;XM_013083321.1
rna12842;XM_013083322.1
rna12843;XM_013083323.1
rna12844;XM_005099751.2
rna12845;XM_005099763.1
rna12846;XM_013083324.1
rna12848;XM_013083325.1
rna12849;XM_005099766.2
rna12850;XM_013083331.1
rna12851;XM_013083332.1
rna12852;XM_005099767.2
rna12853;XM_013083327.1
rna12854;XM_013083326.1
rna12855;XM_005099792.2
rna12856;XM_005099768.2
rna12858;XM_005099793.2
rna12859;XM_013083330.1
rna12860;XM_005099794.2
rna12861;XM_005099770.2
rna12862;XM_005099795.1
rna12863;XM_005099771.2
rna12865;XM_013083334.1
rna12866;XM_005099772.2
rna12867;XM_005099773.2
rna12868;XM_013083328.1
rna12869;XM_005099774.2
rna12870;XM_005099776.2
rna12871;XM_005099775.2
rna12872;XM_005099797.2
rna12874;XM_013083335.1
rna12875;XM_005099779.2
rna12876;XM_005099780.2
rna12878;XM_013083336.1
rna12879;XM_013083338.1
rna12880;XM_005099784.2
rna12881;XM_005099783.2
rna12882;XM_005099786.2
rna12883;XM_013083339.1
rna12884;XM_013083340.1
rna12885;XM_005099787.2
rna12886;XM_013083341.1
rna12887;XM_005099799.1
rna12888;XM_005099789.2
rna12889;XM_013083342.1
rna12897;XM_013083344.1
rna12898;XM_013083345.1
rna12899;XM_013083346.1
rna12900;XM_005099801.2
rna12901;XM_005099813.1
rna12902;XM_005099802.2
rna12903;XM_005099804.2
rna12904;XM_013083347.1
rna12905;XM_013083348.1
rna12906;XM_005099805.2
rna12907;XM_005099806.2
rna12908;XM_005099808.2
rna12909;XM_005099809.2
rna12910;XM_005099807.2
rna12911;XM_005099816.2
rna12912;XM_013083343.1
rna12913;XM_013083349.1
rna12914;XM_005099818.1
rna12915;XM_013083357.1
rna12916;XM_013083359.1
rna12917;XM_013083358.1
rna12918;XM_005099819.2
rna12919;XM_013083363.1
rna12920;XM_013083360.1
rna12921;XM_013083361.1
rna12922;XM_013083362.1
rna12923;XM_005099820.2
rna12924;XM_005099821.2
rna12925;XM_005099823.2
rna12926;XM_005099822.2
rna12927;XM_005099824.2
rna12928;XM_005099827.2
rna12929;XM_005099826.2
rna12930;XM_005099825.2
rna12931;XM_013083364.1
rna12932;XM_013083365.1
rna12933;XM_005099829.2
rna12934;XM_013083350.1
rna12935;XM_013083367.1
rna12936;XM_013083368.1
rna12937;XM_013083366.1
rna12938;XM_013083351.1
rna12939;XM_013083369.1
rna12940;XM_013083352.1
rna12941;XM_005099833.2
rna12942;XM_005099836.2
rna12943;XM_005099834.2
rna12944;XM_005099852.1
rna12945;XM_013083354.1
rna12946;XM_013083353.1
rna12947;XM_005099838.2
rna12948;XM_005099854.2
rna12949;XM_005099839.1
rna12950;XM_005099840.2
rna12951;XM_005099841.2
rna12952;XM_005099842.2
rna12953;XM_013083355.1
rna12954;XM_005099843.2
rna12955;XM_005099844.2
rna12956;XM_013083370.1
rna12957;XM_013083356.1
rna12958;XM_005099856.1
rna12959;XM_005099859.2
rna12960;XM_005099845.2
rna12961;XM_013083371.1
rna12962;XM_013083378.1
rna12963;XM_013083372.1
rna12964;XM_013083373.1
rna12965;XM_013083374.1
rna12966;XM_005099862.2
rna12967;XM_005099864.2
rna12968;XM_005099865.2
rna12969;XM_013083380.1
rna12970;XM_005099866.2
rna12971;XM_013083381.1
rna12972;XM_005099869.2
rna12973;XM_013083382.1
rna12974;XM_013083375.1
rna12975;XM_005099870.2
rna12976;XM_013083379.1
rna12977;XM_013083376.1
rna12978;XM_013083384.1
rna12979;XM_005099872.2
rna12980;XM_005099873.2
rna12981;XM_013083385.1
rna12982;XM_013083386.1
rna12983;XM_013083391.1
rna12984;XM_013083392.1
rna12985;XM_013083393.1
rna12986;XM_005099925.2
rna12987;XM_005099883.2
rna12988;XM_005099887.2
rna12989;XM_005099888.2
rna12990;XM_005099890.1
rna12991;XM_005099893.2
rna12992;XM_005099892.2
rna12993;XM_005099927.2
rna12994;XM_005099894.2
rna12995;XM_005099896.2
rna12996;XM_005099898.2
rna12997;XM_005099897.2
rna12998;XM_005099895.2
rna12999;XM_005099899.2
rna13001;XM_005099900.2
rna13002;XM_005099901.2
rna13003;XM_005099928.2
rna13004;XM_005099929.1
rna13005;XM_005099906.2
rna13006;XM_005099905.2
rna13007;XM_005099904.2
rna13008;XM_013083395.1
rna13009;XM_013083396.1
rna13010;XM_013083397.1
rna13011;XM_013083398.1
rna13012;XM_005099913.2
rna13013;XM_005099911.2
rna13014;XM_005099915.2
rna13015;XM_013083400.1
rna13016;XM_013083388.1
rna13017;XM_005099917.2
rna13018;XM_013083401.1
rna13019;XM_005099918.2
rna13020;XM_005099920.2
rna13021;XM_005099919.2
rna13022;XM_013083389.1
rna13023;XM_005099922.2
rna13024;XM_013083402.1
rna13025;XM_005099923.2
rna13026;XM_013083403.1
rna13027;XM_013083404.1
rna13028;XM_013083405.1
rna13029;XM_013083390.1
rna13030;XM_005099944.2
rna13031;XM_013083406.1
rna13032;XM_005099940.2
rna13033;XM_005099941.2
rna13034;XM_013083407.1
rna13035;XM_013083408.1
rna13036;XM_005099942.2
rna13037;XM_005099943.2
rna13038;XM_005099950.2
rna13039;XM_005099968.1
rna13040;XM_013083416.1
rna13042;XM_013083409.1
rna13043;XM_005099953.1
rna13044;XM_005099952.2
rna13045;XM_013083418.1
rna13046;XM_005099972.1
rna13047;XM_005099973.1
rna13048;XM_005099974.2
rna13049;XM_013083410.1
rna13050;XM_013083411.1
rna13051;XM_013083421.1
rna13052;XM_013083417.1
rna13053;XM_005099955.2
rna13054;XM_005099956.2
rna13055;XM_005099954.2
rna13056;XM_005099959.1
rna13057;XM_013083419.1
rna13058;XM_005099960.2
rna13059;XM_013083422.1
rna13060;XM_013083412.1
rna13061;XM_013083423.1
rna13062;XM_013083424.1
rna13063;XM_013083425.1
rna13064;XM_013083426.1
rna13065;XM_005099962.2
rna13066;XM_013083427.1
rna13067;XM_005099976.1
rna13068;XM_013083414.1
rna13069;XM_013083429.1
rna13070;XM_013083428.1
rna13071;XM_005099964.2
rna13072;XM_005099965.2
rna13073;XM_013083415.1
rna13074;XM_013083430.1
rna13075;XM_013083431.1
rna13076;XM_005099967.2
rna13077;XM_013083432.1
rna13078;XM_005099980.2
rna13079;XM_005100005.2
rna13080;XM_013083437.1
rna13081;XM_013083438.1
rna13082;XM_013083436.1
rna13083;XM_005100006.2
rna13084;XM_005099982.2
rna13085;XM_005099981.2
rna13086;XM_013083439.1
rna13087;XM_005099983.2
rna13088;XM_005099984.2
rna13089;XM_005100008.2
rna13090;XM_013083433.1
rna13091;XM_005099985.2
rna13092;XM_005099986.2
rna13093;XM_013083440.1
rna13094;XM_005099987.2
rna13095;XM_005099988.2
rna13096;XM_013083442.1
rna13097;XM_013083441.1
rna13098;XM_005099990.2
rna13099;XM_005099989.2
rna13100;XM_013083443.1
rna13101;XM_005099991.2
rna13102;XM_005099993.2
rna13103;XM_005099994.2
rna13104;XM_005099992.2
rna13105;XM_013083444.1
rna13106;XM_005100010.2
rna13107;XM_005099998.2
rna13108;XM_005099996.2
rna13110;XM_013083445.1
rna13111;XM_005099997.2
rna13112;XM_005099995.2
rna13113;XM_005100011.2
rna13114;XM_013083446.1
rna13115;XM_005100013.1
rna13116;XM_005100000.2
rna13117;XM_013083447.1
rna13118;XM_005100001.2
rna13119;XM_005100014.2
rna13120;XM_013083448.1
rna13121;XM_013083434.1
rna13122;XM_013083435.1
rna13123;XM_013083450.1
rna13124;XM_013083449.1
rna13125;XM_005100003.2
rna13126;XM_013083451.1
rna13127;XM_005100017.1
rna13128;XM_013083454.1
rna13129;XM_005100004.2
rna13130;XM_013083452.1
rna13131;XM_013083453.1
rna13132;XM_005100020.2
rna13133;XM_005100021.2
rna13134;XM_005100022.2
rna13135;XM_005100023.2
rna13136;XM_013083456.1
rna13137;XM_005100024.2
rna13138;XM_005100025.1
rna13139;XM_005100026.2
rna13140;XM_005100029.2
rna13141;XM_005100030.1
rna13142;XM_013083459.1
rna13143;XM_013083460.1
rna13144;XM_013083461.1
rna13145;NM_001204740.1
rna13146;XM_013083455.1
rna13147;NM_001204613.1
rna13148;XM_013083462.1
rna13149;XM_013083463.1
rna13150;XM_013083464.1
rna13151;XM_013083457.1
rna13152;XM_013083458.1
rna13153;XM_005100036.1
rna13154;XM_013083465.1
rna13155;XM_005100037.2
rna13156;XM_005100038.2
rna13157;XM_013083471.1
rna13158;XM_005100063.2
rna13159;XM_005100039.2
rna13160;XM_005100040.2
rna13161;XM_005100044.2
rna13162;XM_005100043.2
rna13163;XM_005100041.2
rna13164;XM_005100042.2
rna13165;XM_005100045.2
rna13166;XM_005100064.1
rna13167;XM_005100065.2
rna13168;XM_005100046.2
rna13169;XM_005100047.2
rna13170;XM_005100048.2
rna13171;XM_013083472.1
rna13172;XM_013083473.1
rna13173;XM_013083469.1
rna13174;XM_005100049.2
rna13175;XM_005100050.2
rna13176;XM_005100068.1
rna13177;XM_013083467.1
rna13178;XM_005100054.2
rna13179;XM_005100053.2
rna13180;XM_013083475.1
rna13181;XM_005100052.2
rna13182;XM_005100051.2
rna13183;XM_013083476.1
rna13184;XM_005100055.2
rna13185;XM_005100056.2
rna13186;XM_005100059.2
rna13187;XM_013083477.1
rna13189;XM_013083468.1
rna13190;XM_013083478.1
rna13191;XM_005100061.2
rna13192;XM_013083484.1
rna13193;XM_005100076.2
rna13194;XM_005100075.2
rna13195;XM_005100077.1
rna13196;XM_005100078.2
rna13197;XM_005100103.2
rna13198;XM_005100079.2
rna13199;XM_013083485.1
rna13200;XM_005100081.2
rna13201;XM_013083486.1
rna13202;XM_005100082.2
rna13203;XM_005100083.2
rna13204;XM_005100084.2
rna13205;XM_013083487.1
rna13206;XM_013083482.1
rna13207;XM_005100086.2
rna13208;XM_013083483.1
rna13209;XM_005100088.2
rna13210;XM_005100090.1
rna13211;XM_005100091.2
rna13212;XM_005100092.2
rna13213;XM_005100096.2
rna13214;XM_005100094.2
rna13215;XM_005100093.2
rna13216;XM_005100095.2
rna13217;XM_013083488.1
rna13218;XM_005100097.2
rna13219;XM_013083489.1
rna13220;XM_013083490.1
rna13221;XM_013083479.1
rna13222;XM_005100098.2
rna13223;XM_005100099.2
rna13225;XM_005100100.1
rna13226;XM_013083480.1
rna13227;XM_005100101.2
rna13228;XM_013083481.1
rna13229;XM_013083491.1
rna13230;XM_005100124.2
rna13231;XM_005100110.2
rna13232;XM_005100111.2
rna13233;XM_013083494.1
rna13234;XM_005100112.2
rna13235;XM_005100113.2
rna13236;XM_005100114.2
rna13237;XM_005100115.2
rna13239;XM_005100116.1
rna13240;XM_013083495.1
rna13241;XM_005100117.2
rna13244;XM_005100118.2
rna13245;XM_013083496.1
rna13246;XM_005100119.2
rna13247;XM_013083497.1
rna13248;NM_001204618.1
rna13249;XM_013083492.1
rna13250;XM_005100121.2
rna13251;XM_005100126.2
rna13252;XM_005100122.2
rna13253;XM_005100123.2
rna13254;XM_013083499.1
rna13255;XM_013083493.1
rna13256;XM_013083502.1
rna13257;XM_013083503.1
rna13258;XM_013083505.1
rna13259;XM_013083504.1
rna13260;XM_005100129.2
rna13261;XM_005100145.2
rna13262;XM_005100146.2
rna13263;XM_005100132.2
rna13264;XM_005100133.2
rna13265;XM_005100147.2
rna13266;XM_005100148.2
rna13267;XM_005100151.2
rna13268;XM_005100135.1
rna13269;XM_005100137.2
rna13270;XM_005100138.2
rna13271;XM_005100152.1
rna13273;XM_013083500.1
rna13274;XM_013083501.1
rna13277;XM_013083506.1
rna13278;XM_005100139.2
rna13279;XM_005100140.2
rna13280;XM_005100141.2
rna13281;XM_013083507.1
rna13282;XM_013083508.1
rna13283;XM_013083517.1
rna13284;XM_005100158.2
rna13285;XM_013083516.1
rna13286;XM_005100159.2
rna13287;XM_005100160.2
rna13288;XM_013083518.1
rna13289;XM_005100161.2
rna13290;XM_013083519.1
rna13291;XM_005100174.2
rna13292;XM_005100175.2
rna13293;XM_005100162.2
rna13294;XM_013083521.1
rna13295;XM_013083522.1
rna13296;XM_013083523.1
rna13297;XM_013083524.1
rna13298;XM_013083525.1
rna13299;XM_005100168.2
rna13300;XM_005100176.1
rna13301;XM_013083509.1
rna13302;NM_001204637.1
rna13304;XM_005100169.2
rna13305;XM_005100170.2
rna13306;XM_005100171.2
rna13307;XM_005100172.2
rna13308;XM_013083527.1
rna13309;XM_013083510.1
rna13310;XM_013083511.1
rna13311;XM_013083513.1
rna13312;XM_013083512.1
rna13313;XM_005100179.2
rna13314;XM_013083515.1
rna13315;XM_005100181.2
rna13316;XM_005100182.2
rna13317;XM_005100184.2
rna13318;XM_005100185.2
rna13319;XM_005100186.2
rna13320;XM_005100183.2
rna13321;XM_013083528.1
rna13322;XM_005100188.2
rna13323;XM_005100189.2
rna13324;XM_005100190.2
rna13325;XM_013083531.1
rna13326;XM_013083532.1
rna13327;XM_005100191.2
rna13328;XM_005100192.2
rna13329;XM_013083533.1
rna13330;XM_005100194.2
rna13331;XM_005100195.2
rna13332;XM_005100198.2
rna13333;XM_013083529.1
rna13334;XM_005100200.2
rna13335;XM_005100201.2
rna13336;XM_005100202.1
rna13337;XM_005100203.2
rna13338;XM_013083537.1
rna13339;XM_013083538.1
rna13340;XM_005100204.2
rna13341;XM_005100205.2
rna13342;XM_013083539.1
rna13343;XM_013083540.1
rna13344;XM_013083541.1
rna13345;XM_013083542.1
rna13347;XM_005100208.2
rna13348;XM_013083543.1
rna13351;XM_013083544.1
rna13352;XM_013083545.1
rna13353;XM_005100209.2
rna13354;XM_005100210.2
rna13355;XM_005100211.2
rna13356;XM_005100212.2
rna13357;XM_005100213.2
rna13358;XM_005100214.2
rna13359;XM_013083546.1
rna13360;XM_005100216.2
rna13361;XM_005100217.2
rna13362;XM_013083534.1
rna13363;XM_013083535.1
rna13364;XM_013083547.1
rna13365;XM_005100224.1
rna13366;XM_005100225.2
rna13367;XM_005100256.2
rna13368;XM_013083553.1
rna13369;XM_005100228.2
rna13370;XM_005100229.2
rna13371;XM_005100226.2
rna13372;XM_013083557.1
rna13373;XM_013083554.1
rna13374;XM_013083556.1
rna13375;XM_013083555.1
rna13376;XM_005100230.2
rna13377;XM_005100231.2
rna13378;XM_005100232.2
rna13380;XM_005100233.2
rna13381;XM_005100234.2
rna13382;XM_005100235.2
rna13383;XM_005100260.1
rna13384;XM_013083548.1
rna13385;XM_013083558.1
rna13386;XM_013083559.1
rna13387;XM_005100236.2
rna13388;XM_005100237.2
rna13389;XM_013083570.1
rna13390;XM_013083569.1
rna13391;XM_013083568.1
rna13392;XM_013083567.1
rna13393;XM_013083566.1
rna13394;XM_013083565.1
rna13395;XM_005100238.2
rna13396;XM_013083549.1
rna13397;XM_005100240.2
rna13398;XM_005100239.2
rna13400;XM_013083564.1
rna13401;XM_013083563.1
rna13402;XM_005100264.2
rna13403;XM_013083560.1
rna13404;XM_013083561.1
rna13405;XM_005100242.2
rna13406;XM_005100243.2
rna13407;XM_005100244.2
rna13408;XM_013083572.1
rna13410;XM_013083571.1
rna13411;XM_013083574.1
rna13412;XM_013083550.1
rna13413;XM_013083551.1
rna13414;XM_005100248.2
rna13415;XM_005100246.2
rna13416;XM_005100249.2
rna13417;XM_005100247.2
rna13418;XM_005100251.2
rna13419;XM_005100253.2
rna13420;XM_005100254.2
rna13421;XM_005100255.2
rna13422;XM_005100267.2
rna13423;XM_005100268.2
rna13424;XM_005100269.1
rna13425;XM_005100271.1
rna13426;XM_005100272.2
rna13427;XM_005100270.2
rna13429;XM_013083576.1
rna13430;XM_005100273.2
rna13431;XM_005100274.2
rna13432;XM_013083577.1
rna13433;XM_005100275.2
rna13434;XM_005100276.2
rna13435;XM_005100282.1
rna13436;XM_005100283.1
rna13437;XM_005100284.1
rna13438;XM_005100285.2
rna13439;XM_013083578.1
rna13440;XM_013083582.1
rna13441;XM_005100277.2
rna13442;XM_005100278.2
rna13443;XM_013083583.1
rna13444;XM_005100288.2
rna13445;XM_013083580.1
rna13446;XM_013083581.1
rna13447;XM_005100305.1
rna13448;XM_013083584.1
rna13449;XM_005100289.2
rna13450;XM_005100290.2
rna13451;XM_005100294.2
rna13452;XM_005100307.1
rna13453;XM_005100299.2
rna13454;XM_005100297.2
rna13455;XM_005100296.2
rna13456;XM_005100308.2
rna13457;XM_005100300.2
rna13458;XM_013083594.1
rna13459;XM_013083585.1
rna13460;XM_005100301.2
rna13461;XM_005100302.2
rna13462;XM_013083589.1
rna13463;XM_005100303.2
rna13464;XM_013083590.1
rna13465;NM_001245992.1
rna13466;XM_013083596.1
rna13467;XM_013083595.1
rna13468;XM_013083597.1
rna13469;XM_013083587.1
rna13470;XM_005100312.2
rna13471;XM_005100313.1
rna13472;XM_013083588.1
rna13473;XM_013083591.1
rna13474;XM_005100304.2
rna13475;XM_013083592.1
rna13476;XM_013083609.1
rna13477;XM_005100315.2
rna13478;XM_013083610.1
rna13479;XM_005100330.2
rna13480;XM_005100331.1
rna13481;XM_005100332.1
rna13482;XM_013083601.1
rna13483;XM_005100334.1
rna13484;XM_005100335.1
rna13485;XM_013083602.1
rna13486;XM_013083605.1
rna13487;XM_005100316.2
rna13488;XM_005100338.2
rna13489;XM_005100317.1
rna13490;XM_005100318.2
rna13491;XM_013083606.1
rna13492;XM_013083611.1
rna13493;XM_013083612.1
rna13494;XM_005100320.2
rna13495;XM_005100321.1
rna13496;XM_005100322.2
rna13497;XM_013083614.1
rna13498;XM_013083603.1
rna13499;XM_005100342.1
rna13500;XM_013083607.1
rna13501;XM_005100324.1
rna13502;XM_005100323.1
rna13503;XM_005100325.2
rna13504;XM_013083598.1
rna13505;XM_013083600.1
rna13506;XM_013083599.1
rna13507;NM_001204496.1
rna13509;XM_013083608.1
rna13510;XM_005100326.2
rna13511;XM_013083604.1
rna13512;XM_013083615.1
rna13513;XM_013083616.1
rna13514;XM_005100344.2
rna13515;XM_005100345.2
rna13516;XM_005100346.2
rna13517;NM_001204702.1
rna13518;XM_005100347.2
rna13519;XM_005100348.2
rna13520;XM_005100349.2
rna13521;XM_005100376.1
rna13522;XM_013083621.1
rna13523;XM_005100377.1
rna13524;XM_005100350.2
rna13525;XM_005100361.2
rna13526;XM_013083623.1
rna13527;XM_005100352.2
rna13528;XM_005100353.2
rna13529;XM_005100359.2
rna13530;XM_005100357.2
rna13531;XM_005100358.2
rna13532;XM_005100355.2
rna13533;XM_005100356.2
rna13534;XM_005100354.2
rna13535;XM_005100362.2
rna13536;XM_005100363.2
rna13537;XM_005100364.2
rna13538;XM_005100365.2
rna13539;XM_005100368.2
rna13540;XM_005100366.2
rna13541;XM_005100367.2
rna13542;XM_013083625.1
rna13543;XM_005100373.2
rna13544;XM_013083619.1
rna13545;XM_013083626.1
rna13546;XM_013083618.1
rna13547;XM_013083627.1
rna13548;XM_013083620.1
rna13549;XM_005100375.2
rna13550;XM_005100382.2
rna13551;XM_013083622.1
rna13552;XM_005100404.2
rna13553;XM_013083636.1
rna13554;XM_013083637.1
rna13555;XM_013083628.1
rna13556;XM_013083638.1
rna13557;XM_013083629.1
rna13558;XM_013083639.1
rna13559;XM_005100385.2
rna13560;XM_005100384.2
rna13561;XM_013083640.1
rna13562;XM_013083641.1
rna13563;XM_005100386.2
rna13564;XM_013083643.1
rna13565;XM_005100388.2
rna13566;XM_013083642.1
rna13567;XM_005100389.2
rna13568;XM_005100390.2
rna13569;XM_005100407.2
rna13570;XM_013083630.1
rna13571;XM_005100392.2
rna13572;XM_005100393.2
rna13573;XM_005100395.2
rna13574;XM_005100394.2
rna13575;XM_005100396.2
rna13576;XM_013083644.1
rna13577;XM_013083645.1
rna13578;XM_005100397.2
rna13579;XM_013083631.1
rna13580;XM_005100409.2
rna13581;XM_005100401.2
rna13582;XM_005100400.2
rna13583;XM_013083646.1
rna13584;XM_005100399.2
rna13585;XM_013083632.1
rna13586;XM_013083633.1
rna13587;XM_013083634.1
rna13588;XM_013083635.1
rna13589;XM_013083647.1
rna13590;XM_005100403.2
rna13591;XM_013083648.1
rna13592;XM_005100415.1
rna13593;XM_005100416.1
rna13594;XM_005100417.2
rna13595;XM_005100418.2
rna13596;XM_005100422.2
rna13597;XM_005100423.2
rna13598;XM_005100420.2
rna13599;XM_005100421.2
rna13600;XM_005100419.2
rna13601;XM_005100424.2
rna13602;XM_005100426.2
rna13603;XM_013083650.1
rna13604;XM_013083651.1
rna13605;XM_005100425.2
rna13606;XM_005100429.2
rna13607;XM_005100428.2
rna13608;XM_005100427.2
rna13609;XM_013083652.1
rna13610;XM_013083653.1
rna13611;XM_005100432.2
rna13612;XM_005100433.2
rna13613;XM_013083654.1
rna13614;XM_005100434.2
rna13615;XM_005100435.2
rna13616;XM_013083649.1
rna13618;XM_013083655.1
rna13619;XM_005100437.2
rna13620;XM_005100440.2
rna13621;XM_005100439.2
rna13622;XM_013083660.1
rna13623;XM_013083658.1
rna13624;XM_005100438.2
rna13625;XM_013083656.1
rna13626;XM_013083657.1
rna13627;XM_005100436.2
rna13628;XM_005100441.2
rna13629;XM_005100442.2
rna13630;XM_005100443.2
rna13631;XM_005100444.2
rna13632;XM_013083661.1
rna13633;XM_005100445.2
rna13634;XM_005100446.2
rna13635;XM_005100447.2
rna13636;XM_013083662.1
rna13637;XM_005100448.2
rna13638;XM_005100452.2
rna13639;XM_005100469.2
rna13640;XM_013083664.1
rna13641;XM_013083670.1
rna13643;XM_013083666.1
rna13644;XM_005100453.2
rna13645;XM_005100454.2
rna13646;XM_013083671.1
rna13647;XM_005100455.2
rna13648;XM_013083672.1
rna13649;XM_005100457.2
rna13650;XM_005100456.2
rna13651;XM_013083667.1
rna13652;XM_013083668.1
rna13653;XM_005100458.2
rna13654;XM_005100472.2
rna13655;XM_013083674.1
rna13656;XM_005100459.2
rna13657;XM_005100460.2
rna13658;XM_005100461.2
rna13659;XM_005100462.2
rna13660;XM_005100463.2
rna13661;XM_005100464.2
rna13662;XM_005100465.2
rna13663;XM_005100466.2
rna13664;XM_013083675.1
rna13665;XM_013083676.1
rna13666;XM_013083677.1
rna13667;XM_005100467.2
rna13668;XM_013083669.1
rna13669;XM_005100475.2
rna13670;XM_013083679.1
rna13671;XM_013083680.1
rna13674;XM_005100468.2
rna13675;XM_013083665.1
rna13676;XM_013083681.1
rna13677;XM_013083687.1
rna13678;XM_005100491.1
rna13679;XM_013083682.1
rna13680;XM_005100479.2
rna13681;XM_005100480.2
rna13682;XM_013083688.1
rna13683;XM_005100492.2
rna13684;XM_013083689.1
rna13685;XM_013083686.1
rna13686;XM_013083684.1
rna13687;XM_005100481.2
rna13688;XM_005100482.2
rna13689;XM_013083691.1
rna13690;XM_013083692.1
rna13691;XM_005100483.2
rna13692;XM_005100485.2
rna13693;XM_005100486.2
rna13694;XM_013083693.1
rna13695;XM_013083694.1
rna13696;XM_013083685.1
rna13697;XM_013083695.1
rna13698;XM_013083696.1
rna13699;XM_005100489.2
rna13700;XM_013083698.1
rna13701;XM_005100501.2
rna13702;XM_013083708.1
rna13703;XM_005100502.2
rna13704;XM_013083709.1
rna13705;XM_013083710.1
rna13706;XM_013083711.1
rna13707;XM_013083712.1
rna13708;XM_013083713.1
rna13710;XM_013083699.1
rna13711;XM_013083715.1
rna13712;XM_013083714.1
rna13713;XM_005100504.1
rna13714;XM_005100505.2
rna13715;XM_013083716.1
rna13716;XM_013083700.1
rna13717;XM_005100506.2
rna13718;XM_005100507.2
rna13719;XM_005100508.2
rna13720;XM_005100510.2
rna13721;XM_005100509.2
rna13722;XM_013083717.1
rna13723;XM_005100511.2
rna13724;XM_005100512.2
rna13725;XM_013083718.1
rna13726;XM_005100513.2
rna13727;XM_005100515.2
rna13728;XM_005100514.2
rna13729;XM_005100516.2
rna13730;XM_005100519.2
rna13731;XM_005100520.2
rna13732;XM_005100521.2
rna13733;XM_005100522.2
rna13734;XM_005100523.2
rna13735;XM_005100524.2
rna13736;XM_005100525.2
rna13737;XM_005100526.2
rna13738;XM_013083704.1
rna13739;XM_013083705.1
rna13740;XM_013083720.1
rna13741;XM_005100527.2
rna13742;XM_005100528.2
rna13743;XM_013083722.1
rna13744;XM_005100531.2
rna13745;XM_005100529.2
rna13746;XM_005100542.2
rna13748;XM_005100543.1
rna13749;XM_013083701.1
rna13750;XM_013083706.1
rna13751;XM_013083702.1
rna13752;XM_013083723.1
rna13753;XM_005100534.2
rna13754;XM_013083707.1
rna13755;XM_013083725.1
rna13756;XM_013083724.1
rna13757;XM_013083733.1
rna13758;XM_013083730.1
rna13759;XM_013083732.1
rna13760;XM_013083731.1
rna13761;XM_013083734.1
rna13762;XM_013083735.1
rna13763;XM_013083736.1
rna13764;XM_005100560.2
rna13765;XM_013083737.1
rna13766;XM_013083739.1
rna13767;XM_013083738.1
rna13768;XM_013083726.1
rna13769;XM_005100548.2
rna13770;XM_005100549.2
rna13771;XM_005100550.2
rna13772;XM_005100551.2
rna13773;XM_013083727.1
rna13774;XM_005100552.2
rna13775;XM_013083740.1
rna13776;XM_013083741.1
rna13777;XM_013083729.1
rna13778;XM_005100564.2
rna13779;XM_005100554.2
rna13780;XM_005100556.2
rna13781;XM_005100555.2
rna13782;XM_013083743.1
rna13783;XM_005100565.2
rna13785;XM_005100589.2
rna13786;XM_005100567.2
rna13787;XM_013083745.1
rna13788;XM_013083746.1
rna13789;XM_005100569.2
rna13790;XM_005100571.2
rna13791;XM_005100570.2
rna13792;XM_005100572.2
rna13793;XM_005100575.2
rna13794;XM_005100576.2
rna13795;XM_005100577.2
rna13796;XM_013083747.1
rna13797;XM_005100578.2
rna13798;XM_005100579.2
rna13799;XM_005100580.2
rna13800;XM_005100581.2
rna13801;XM_005100582.2
rna13802;XM_013083749.1
rna13803;XM_013083744.1
rna13804;XM_005100585.1
rna13805;XM_005100586.2
rna13806;XM_013083750.1
rna13807;XM_005100587.1
rna13808;XM_005100583.2
rna13809;XM_005100584.2
rna13810;XM_005100595.1
rna13811;XM_013083751.1
rna13812;XM_005100597.2
rna13813;XM_013083752.1
rna13814;XM_005100588.2
rna13815;XM_013083755.1
rna13816;XM_005100598.2
rna13817;XM_013083753.1
rna13818;XM_013083756.1
rna13819;XM_005100601.2
rna13820;XM_013083757.1
rna13821;XM_005100600.2
rna13822;XM_013083758.1
rna13823;XM_005100599.1
rna13824;XM_013083759.1
rna13825;XM_013083760.1
rna13826;XM_005100604.2
rna13827;XM_005100603.2
rna13828;XM_005100605.2
rna13829;XM_013083762.1
rna13830;XM_005100625.2
rna13831;XM_005100607.2
rna13832;XM_013083763.1
rna13833;XM_005100606.2
rna13834;XM_013083764.1
rna13835;XM_005100608.2
rna13836;XM_005100609.2
rna13837;XM_005100610.2
rna13838;XM_005100611.2
rna13839;XM_005100626.1
rna13840;XM_005100627.1
rna13841;XM_013083754.1
rna13842;XM_005100613.2
rna13843;XM_013083768.1
rna13844;XM_005100614.2
rna13845;XM_013083766.1
rna13846;XM_005100618.2
rna13847;XM_005100617.2
rna13848;XM_005100612.2
rna13849;XM_005100615.2
rna13850;XM_005100616.2
rna13851;XM_013083767.1
rna13852;XM_005100619.2
rna13853;XM_005100620.2
rna13854;XM_005100649.2
rna13855;XM_013083778.1
rna13856;XM_013083769.1
rna13857;XM_013083779.1
rna13858;XM_013083770.1
rna13859;XM_005100629.2
rna13860;XM_013083780.1
rna13861;XM_013083781.1
rna13862;XM_013083774.1
rna13863;XM_013083782.1
rna13864;XM_013083775.1
rna13865;XM_013083771.1
